https://amzn.com/0679762884/?tag=kevideld-20,Andy Grove's book, High Output Management,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://news.ycombinator.com/item?id=22808280,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=20533922,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=20914779,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://doist.com/blog/asynchronous-communication/,Asynchronous Communication: The Real Reason Remote Workers Are More Productive,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://news.ycombinator.com/item?id=21856352,Examples of harassments,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=12509533,You need to be this tall to use (micro) services,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://courses.washington.edu/psii101/Powerpoints/Symptoms%20of%20Groupthink.htm,Symptoms of Groupthink,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: ''> | reason: 
https://news.ycombinator.com/item?id=20260498,comment,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=21892816,Responsibility vs. accountability,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=16126082,You have only 4 options,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=7789438,How shitty job crush your soul, then lead to burnout,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=16377523,Best project management practices in 2018?,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://www.skylyte.io/self-assessment,What makes you resilient?,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://news.ycombinator.com/item?id=20260114,Why large companies are so difficult to rescue,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://www.cadencework.com/blog/async-standups.html,Your daily standups should be async. Here's why,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://news.ycombinator.com/item?id=5630618,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=21823987,L8-L10 salaries at AWS,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=21612990,10 things I've learned after 35 years,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://quotes.deming.org/authors/W._Edwards_Deming/quote/2068-2,W. Edwards Deming,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://news.ycombinator.com/item?id=11833832,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=21828666,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=21230771,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=21395557,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=20786286,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://amzn.com/0132888955/?tag=kevideld-20,Essays on object-oriented software engineering,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://leadership.au.af.mil/sls-skil.htm,US Air Force's Strategic Leadership Studies,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: timeout('timed out') | reason: 
